node count,first DIO sent,last DIO joined DAG,network setup time,PDR,lost packets,sent packets,recieved packets,average latency,total transmit ticks,total listen ticks,total consumption,total cpu,total lpm,radio on time,DIO sent,DIS sent,DAO sent
70,3973,25148,21175,98.10126582278481,12,632,620,655.3451612903226,15932494,141672400,157604894,446346905,5833393482,2.509735821663355,498,41,467
70,3969,25143,21174,93.4920634920635,41,630,589,589.7623089983022,24653020,242584438,267237458,768950503,10115876206,2.455137460103408,550,40,548
