node count,first DIO sent,last DIO joined DAG,network setup time,PDR,lost packets,sent packets,recieved packets,average latency,total transmit ticks,total listen ticks,total consumption,total cpu,total lpm,radio on time,DIO sent,DIS sent,DAO sent
70,3973,25143,21170,96.86333084391336,42,1339,1297,698.0578257517348,207210,747675,954885,4861606,62730783,1.412710830504896,552,40,540
70,3973,25143,21170,97.22013523666416,37,1331,1294,725.5131375579598,55668718,163955327,219624045,1012176285,12728056943,1.5984011432385856,553,40,545
