node count,first DIO sent,last DIO joined DAG,network setup time,PDR,lost packets,sent packets,recieved packets,average latency,total transmit ticks,total listen ticks,total consumption,total cpu,total lpm,radio on time,DIO sent,DIS sent,DAO sent
90,3974,28044,24070,95.88377723970945,34,826,792,660.4974747474747,25139139,181165848,206304987,628491710,9209141779,2.0970997469125168,636,58,552
90,3974,41024,37050,95.91584158415841,33,808,775,686.5032258064516,27531451,153024728,180556179,533297420,7515705761,2.2432116740394665,812,58,847
