node count,first DIO sent,last DIO joined DAG,network setup time,PDR,lost packets,sent packets,recieved packets,average latency,total transmit ticks,total listen ticks,total consumption,total cpu,total lpm,radio on time,DIO sent,DIS sent,DAO sent
100,3969,34305,30336,83.44226579520696,152,918,766,783.9647519582245,25978710,158267572,184246282,584956140,8348528313,2.0624234918562747,709,69,621
100,3974,64562,60588,94.7136563876652,48,908,860,899.0337209302326,40198404,200128467,240326871,742046625,10176512667,2.2010859177738484,943,73,987
